Content Title,Github Repo,s3 link/drive Link,Youtube Link,Blog created on docs,README updated
Multi-Model Invoice OCR Pipeline:,https://github.com/dakshjain-1616/Multi-Model-Invoice-OCR-Pipeline,https://drive.google.com/file/d/1uKz_Dj33oN1Dsl393hJVz1RMy22G_3-z/view?usp=drive_link,,TRUE,TRUE

Table Extraction from Financial Documents,https://github.com/dakshjain-1616/Table-Extraction-from-Financial-Documents,https://drive.google.com/file/d/1NlvqdpsKvsoFt30EHgQiaLSkf_AHMdn1/view?usp=sharing,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/tableExtraction.mp4,TRUE,TRUE

Real-time Voice Translation Pipeline,https://github.com/dakshjain-1616/Real-time-Voice-Translation-Pipeline,https://drive.google.com/file/d/1XLZGDvvVcuURXVb0hF_rczBEpG7SI3qc/view?usp=sharing,,TRUE,TRUE

Medical Report Analysis Pipeline,https://github.com/dakshjain-1616/Medical-Report-Analysis-Pipeline,https://drive.google.com/drive/folders/1_BQIcMEdmmzeXWWtC0t5IIt-68RqjeTd,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/medical-vision-model-pipeline.mp4,TRUE,TRUE

Quantization-Aware Training,https://github.com/dakshjain-1616/Quantisation-Awareness-training,https://drive.google.com/file/d/1H6HRSf0EVf3JUSVTVgjQlHdwnyrqV0G9/view?usp=sharing,https://youtu.be/Z9W2gTu-Ekc,TRUE,TRUE

Multi-Query Batch Inference Optimization,https://github.com/dakshjain-1616/Multi-Query-Batch-Inference-Optimization,https://drive.google.com/file/d/1Ztz_dVJaa9LS0m9KvZssDGGZdqOT-7gc/view?usp=sharing,,TRUE,TRUE

Code Analysis & Refactoring Agent:,https://github.com/dakshjain-1616/Code-Agent-Analysis-and-Refactoring-tool,https://drive.google.com/file/d/1bRxrY1p10MTUBiqaH3IHKkHMFuGs3QWH/view?usp=drive_link,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/code-refactor-agent-made-with-neo.mp4,TRUE,TRUE

Multi-modal RAG System,https://github.com/dakshjain-1616/Multi-Model-RAG,https://drive.google.com/file/d/1u_XaJJUFke-xviExqpgyWzzZJTgSKWro/view?usp=sharing,,TRUE,TRUE

Prompt Injection Defense,https://github.com/dakshjain-1616/Prompt-Injection-Defence-System,https://drive.google.com/file/d/1uICNZj4eWlG0vktuB6HTotZicWNutK7D/view?usp=drive_link,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/prompt-injection-defence-fast.mp4,TRUE,TRUE

A/B Testing Framework,https://github.com/dakshjain-1616/AB-testing-tool,https://drive.google.com/file/d/1nBQariz1c0loPKnkUCFodcPB6oQY4kP9/view?usp=sharing,,TRUE,TRUE

Carbon-Aware Model Training,https://github.com/dakshjain-1616/CarbonAwareModelTraining,https://drive.google.com/file/d/17xxZJtDhEI_tLIWPUyUW8E-pxtvnaA-T/view?usp=sharing,https://youtu.be/71Se6aNaWTM,TRUE,TRUE

ASR pipeline using Qwen3 0.6B,https://github.com/dakshjain-1616/ASR-pipeline-using-Qwen3-ASR-0.6B---BY-NEO,https://drive.google.com/file/d/1smmpi028giFPclwHS2BQ8edUF-4FBZfC/view?usp=drive_link,https://youtu.be/Fn-jEt5wLmw,TRUE,TRUE
chat clustering tool,https://github.com/dakshjain-1616/ChatClusteringAgent,INTERNAL USAGE TOOL !,,FALSE,FALSE

LLM Consistency Monitor,https://github.com/Dakshjain1604/LLM-consistency-Monitor,https://drive.google.com/file/d/1AXrtTIUyiMll5yVvi64MG1zjlSVGcJYW/view?usp=sharing,,TRUE,TRUE

Prompt AB testing tool,https://github.com/Dakshjain1604/Prompt-AB-testing-Tool,,,TRUE,TRUE
LLM Response Judge,https://github.com/Dakshjain1604/LLM-response-Judge,,,TRUE,TRUE

Stock Trading Swarm ,https://github.com/dakshjain-1616/Stock-trading-Agent-Swarm,https://youtu.be/2c9pnt5i7jU,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/swarm-trading-agent-neo.mp4,TRUE,TRUE

Job Application Autofiller agent,https://github.com/Dakshjain1604/Job-Application-AutoFiller-Agent,,,FALSE,TRUE
Drug Reporposing Platform,https://github.com/Dakshjain1604/AI-Powered-Drug-Repurposing-Platform,,,FALSE,TRUE

New Hire Onboarding Tool,https://github.com/dakshjain-1616/New-Hire-OnBoarding-Tool,https://drive.google.com/file/d/1KtPNKP8eDR0WyiOviMY1gT1J7SJ06H8M/view?usp=sharing,,FALSE,TRUE
Landing Page Generator Based on GLM5,https://github.com/dakshjain-1616/GLA5-Landing-Page-tool,https://drive.google.com/file/d/1xIUWFUqmt3hA9CF7pJRZcny9yWqyDB_k/view?usp=sharing,,FALSE,TRUE

Embedding Audit and Analysis,https://github.com/dakshjain-1616/Embedding-Evaluator,https://drive.google.com/file/d/1o5-wW4yWoNtHLi2e9e-0F_NNw8Qqkk-n/view?usp=sharing,https://youtu.be/2YiW3SjyE3c https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/audit-vector-embedding-cli-neo.mp4,FALSE,TRUE
Attention Head Visualiser,https://github.com/dakshjain-1616/Attention-Head-Visualiser,,,FALSE,TRUE
Adversarial Robustness Probe,https://github.com/dakshjain-1616/Adversarial-Robustness-Probe,,,FALSE,TRUE

Neuron Activation Mapper,https://github.com/dakshjain-1616/Neuron-Activation-Mapper,,,FALSE,TRUE
LLM Council,https://github.com/abhishekgandhi-neo/llm_council_by_neo,,,FALSE,TRUE


Intelligent MCP Optimization & Suggestion Agent,https://github.com/abhishekgandhi-neo/MCP_Optimization_Suggestion_Agent_By_NEO,,,FALSE,TRUE
Multi-Agent Observability Platform,https://github.com/abhishekgandhi-neo/MultiAgent_Observability_Platform_by_NEO,,,FALSE,TRUE
Multi-Agent Memory Management System,https://github.com/abhishekgandhi-neo/Multi-Agent_Memory_Management_System_BY_NEO,,,FALSE,TRUE
Latest Top LLM Eval ,https://github.com/dakshjain-1616/Latest-LLMs-Real-Life-Task-Evaluation,,,FALSE,TRUE

Speculative Decoding Benchmarker,https://github.com/dakshjain-1616/Speculative-Decoding-Bench-marker/blob/main/README.md,,,FALSE,FALSE
MOSS-TTS CPU-Optimized Inference Pipeline,https://github.com/dakshjain-1616/MOSS-TTS-CPU-Optimized-Inference-Pipeline,,,FALSE,FALSE

Benchmark: Qwen 3.5 Medium Edition,https://github.com/dakshjain-1616/Benchmark-Qwen-3.5-Medium-Edition,https://drive.google.com/file/d/1ZjuWZBz98j1fEvZaZgedjeBEZMtbFUUg/view?usp=sharing,,FALSE,TRUE

CPU based TTS Streaming LLM Assistant,https://github.com/abhishekgandhi-neo/Low-Latency-CPU-Based-Voice-Assistant,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-kitten-tts-streaming.mp4,,FALSE,FALSE
Query any Github Repo Agent,https://github.com/gauravvij/GithubRepoAgent,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/query-any-git-repo-neo.mp4,,FALSE,FALSE

Spec to Ship Multiagent feature tool,https://github.com/dakshjain-1616/Spec-To-Ship,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/spec-2-to-ship-ai.mp4,,FALSE,FALSE
LLM Evaluator Tool,https://github.com/gauravvij/llm-evaluator,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-evaluator-runtime.mp4,,FALSE,FALSE
Quantization Qwen 3.5 for smaller devices,https://github.com/dakshjain-1616/Qwen-3.5-Quantisation-for-small-devices-,,,FALSE,FALSE

LLM Hardware benchmarking,https://github.com/gauravvij/llm-hardware-benchmarking,,,FALSE,FALSE
Web Search Comparison ,https://github.com/dakshjain-1616/SearchModel-Comparison,,,FALSE,FALSE

AI powered time series forcasting tool ,https://github.com/dakshjain-1616/AI-Powered-Time-Series-Forecasting,https://drive.google.com/file/d/1nb0nGiplGww5zZqm6HBof82FthnbnD-S/view?usp=sharing,,FALSE,FALSE
Hallucination Benchmark tool ,https://github.com/dakshjain-1616/Hallucination-Benchmark-Tool,,,FALSE,FALSE

Autonomous eXaminer of Integrity and Moral Operations,https://github.com/dakshjain-1616/AXIOM---Autonomous-eXaminer-of-Integrity-and-Moral-Operations,,,FALSE,FALSE
Autonomous Documentation Agent,https://github.com/dakshjain-1616/AutoDoc---Autonomous-Documentation-Agent,,,FALSE,FALSE

GPU Scout,https://github.com/NeoResearchAI/gpu-scout,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/gpu-scout.mp4,,FALSE,FALSE
Sarvam 30 B Quantized,https://huggingface.co/daksh-neo/sarvam-30b-quantized,,,FALSE,FALSE

System Anamoly Detection with Voice Alerts,https://github.com/dakshjain-1616/-System-Anomaly-Detection-with-Voice-Alerts,,,FALSE,FALSE
Website Vulnerability Check with AI explanation,https://github.com/dakshjain-1616/nuclei-ai,https://drive.google.com/file/d/1D3987098q4QV94gIYKeKHA6HqBWnEYH6/view?usp=sharing,,FALSE,FALSE

Autonomous Research framework,https://github.com/dakshjain-1616/HypothesisEngine---Autonomous-Research-Framework,,,FALSE,FALSE
PyForge-AI-powered Python CLI,https://github.com/dakshjain-1616/PyForge-AI-powered-Python-CLI,,,FALSE,FALSE

Dependency 3-d visualiser,https://github.com/dakshjain-1616/Orbit-dependency-visualised,https://drive.google.com/file/d/1xkFHTGdeP6xwF9q3dHLl3_VWBqa9LNQZ/view?usp=sharing,,FALSE,FALSE
Omnicoder 9b Benchmarking ,https://github.com/dakshjain-1616/OmniCoder-9B-Benchmark-,,,FALSE,FALSE

Helix Self healing CI CD agent ,https://github.com/dakshjain-1616/Helix-Self-Healing-CI-CD-Agent,,,FALSE,FALSE

JSON Studio ,https://github.com/dakshjain-1616/JSON-AI-Studio,,,FALSE,FALSE
Grok Multiagent Sim,https://github.com/dakshjain-1616/grok-multiagent-simulator,,,FALSE,FALSE

Agent Factory GUI,https://github.com/dakshjain-1616/Agent-Factory-GUI,,,FALSE,FALSE
Multi agent LLM collaboration Sandbox,https://github.com/dakshjain-1616/-Multi-Agent-LLM-Collaboration-Sandbox,,,FALSE,FALSE

Fintrade BenchCLI,https://github.com/dakshjain-1616/FinTradeBench-CLI,,,FALSE,FALSE
CascadeRL optimizer,https://github.com/dakshjain-1616/CascadeRL-Optimizer,,,FALSE,FALSE

ScreenShot2SQL,https://github.com/dakshjain-1616/screenshot2sql,,,FALSE,FALSE
Videoseek-Cli,https://github.com/dakshjain-1616/videoseek-cli,,,FALSE,FALSE

cacheCow,https://github.com/dakshjain-1616/cachecow,,,FALSE,FALSE
Mistral Small 4 chatbot,https://github.com/dakshjain-1616/mistral-small-4-chatbot,,,FALSE,FALSE

minimax-m2-7-codegen,https://github.com/dakshjain-1616/minimax-m2-7-codegen,,,FALSE,FALSE
Lumosx-personalizer - ai generated intro video,https://github.com/dakshjain-1616/lumosx-personalizer,,,FALSE,FALSE

arxiv-paper-to-podcast,https://github.com/dakshjain-1616/arxiv-paper-to-podcast,,,FALSE,FALSE
Schema Infer AI ,https://github.com/dakshjain-1616/schemainfer-ai,,,FALSE,FALSE 


